,id,Brown dwarf,Constellation,Right ascension,Declination,Distance,Mass,Radius,Discovery year,star_names,distance,mass,radius
0,0,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,46.1,0.045820224,0.1017353699999999,2004.0,Sun,0.000015813,1,1
1,1,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,46.1,0.045820224,0.1017353699999999,2004.0,Sun,0.000015813,1,1
2,2,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,46.1,0.045820224,0.1017353699999999,2004.0,Sun,0.000015813,1,1
3,3,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,46.1,0.045820224,0.1017353699999999,2004.0,Sun,0.000015813,1,1
4,4,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,46.1,0.045820224,0.1017353699999999,2004.0,Sun,0.000015813,1,1
5,5,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,46.1,0.045820224,0.1017353699999999,2004.0,Sun,0.000015813,1,1
6,6,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,46.1,0.045820224,0.1017353699999999,2004.0,Sun,0.000015813,1,1
7,7,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,46.1,0.045820224,0.1017353699999999,2004.0,Sun,0.000015813,1,1
8,8,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,46.1,0.045820224,0.1017353699999999,2004.0,Sirius,0008.6,2.1,1.71
9,9,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,46.1,0.045820224,0.1017353699999999,2004.0,Sirius,0008.6,2.1,1.71
10,10,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,192.0,0.018137172,0.1675036899999999,0.0,Sirius,0008.6,2.1,1.71
11,11,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,192.0,0.018137172,0.1675036899999999,0.0,Sirius,0008.6,2.1,1.71
12,12,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,192.0,0.018137172,0.1675036899999999,0.0,Sirius,0008.6,2.1,1.71
13,13,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,192.0,0.018137172,0.1675036899999999,0.0,Sirius,0008.6,2.1,1.71
14,14,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,192.0,0.018137172,0.1675036899999999,0.0,Sirius,0008.6,2.1,1.71
15,15,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,192.0,0.018137172,0.1675036899999999,0.0,Sirius,0008.6,2.1,1.71
16,16,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,192.0,0.018137172,0.1675036899999999,0.0,Canopus,0310,15,71
17,17,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,192.0,0.018137172,0.1675036899999999,0.0,Canopus,0310,15,71
18,18,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,192.0,0.018137172,0.1675036899999999,0.0,Canopus,0310,15,71
19,19,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,192.0,0.018137172,0.1675036899999999,0.0,Canopus,0310,15,71
30,30,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,37.7,0.075412452,0.11201167,0.0,Alpha Centauri,0004.4,1.1,1.2
31,31,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,37.7,0.075412452,0.11201167,0.0,Alpha Centauri,0004.4,1.1,1.2
32,32,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,37.7,0.075412452,0.11201167,0.0,Arcturus,0037,1.1,26
33,33,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,37.7,0.075412452,0.11201167,0.0,Arcturus,0037,1.1,26
34,34,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,37.7,0.075412452,0.11201167,0.0,Arcturus,0037,1.1,26
35,35,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,37.7,0.075412452,0.11201167,0.0,Arcturus,0037,1.1,26
36,36,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,37.7,0.075412452,0.11201167,0.0,Arcturus,0037,1.1,26
37,37,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,37.7,0.075412452,0.11201167,0.0,Arcturus,0037,1.1,26
38,38,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,37.7,0.075412452,0.11201167,0.0,Arcturus,0037,1.1,26
39,39,2MASS J00242463-0158201,Pisces,0h 24m 24.63s,−1° 58′ 20.1″,37.7,0.075412452,0.11201167,0.0,Arcturus,0037,1.1,26
50,50,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,236.0,0.029592228,0.1479787199999999,0.0,Capella,0043,2.6,12
51,51,2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5° 3′ 41.7″,236.0,0.029592228,0.1479787199999999,0.0,Capella,0043,2.6,12
