,id,Brown dwarf,Constellation,Right ascension,Declination,App.mag.,Distance,Spectraltype,Mass,Radius,Discovery year,star_names,distance,mass,radius,luminosity
0,0,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,0.0,46.1,T4.5,0.045820224,0.10173536999999999,2004.0,Sun,0.000015813,1,1,1
1,1,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,0.0,46.1,T4.5,0.045820224,0.10173536999999999,2004.0,Sun,0.000015813,1,1,1
2,2,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,0.0,46.1,T4.5,0.045820224,0.10173536999999999,2004.0,Sun,0.000015813,1,1,1
3,3,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,0.0,46.1,T4.5,0.045820224,0.10173536999999999,2004.0,Sun,0.000015813,1,1,1
4,4,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,0.0,46.1,T4.5,0.045820224,0.10173536999999999,2004.0,Sun,0.000015813,1,1,1
5,5,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,0.0,46.1,T4.5,0.045820224,0.10173536999999999,2004.0,Sun,0.000015813,1,1,1
6,6,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,0.0,46.1,T4.5,0.045820224,0.10173536999999999,2004.0,Sun,0.000015813,1,1,1
7,7,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,0.0,46.1,T4.5,0.045820224,0.10173536999999999,2004.0,Sun,0.000015813,1,1,1
8,8,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,0.0,46.1,T4.5,0.045820224,0.10173536999999999,2004.0,Sirius,0008.6,2.1,1.71,25.4
9,9,SDSS J000013.54+255418.6 [de],Pegasus,0h 0m 13.54s,25° 54′ 18″,0.0,46.1,T4.5,0.045820224,0.10173536999999999,2004.0,Sirius,0008.6,2.1,1.71,25.4
10,10,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,0.0,192.0,L1γ,0.018137172,0.16750368999999998,0.0,Sirius,0008.6,2.1,1.71,25.4
11,11,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,0.0,192.0,L1γ,0.018137172,0.16750368999999998,0.0,Sirius,0008.6,2.1,1.71,25.4
12,12,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,0.0,192.0,L1γ,0.018137172,0.16750368999999998,0.0,Sirius,0008.6,2.1,1.71,25.4
13,13,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,0.0,192.0,L1γ,0.018137172,0.16750368999999998,0.0,Sirius,0008.6,2.1,1.71,25.4
14,14,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,0.0,192.0,L1γ,0.018137172,0.16750368999999998,0.0,Sirius,0008.6,2.1,1.71,25.4
15,15,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,0.0,192.0,L1γ,0.018137172,0.16750368999999998,0.0,Sirius,0008.6,2.1,1.71,25.4
16,16,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,0.0,192.0,L1γ,0.018137172,0.16750368999999998,0.0,Canopus,0310,15,71,"13,500"
17,17,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,0.0,192.0,L1γ,0.018137172,0.16750368999999998,0.0,Canopus,0310,15,71,"13,500"
18,18,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,0.0,192.0,L1γ,0.018137172,0.16750368999999998,0.0,Canopus,0310,15,71,"13,500"
19,19,2MASS J00040288-6410358,Tucana,0h 4m 2.88s,−64° 10′ 35.8″,0.0,192.0,L1γ,0.018137172,0.16750368999999998,0.0,Canopus,0310,15,71,"13,500"
20,20,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,0.0,0.0,L5,0.0,0.0,2002.0,Canopus,0310,15,71,"13,500"
21,21,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,0.0,0.0,L5,0.0,0.0,2002.0,Canopus,0310,15,71,"13,500"
22,22,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,0.0,0.0,L5,0.0,0.0,2002.0,Canopus,0310,15,71,"13,500"
23,23,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,0.0,0.0,L5,0.0,0.0,2002.0,Canopus,0310,15,71,"13,500"
24,24,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,0.0,0.0,L5,0.0,0.0,2002.0,Alpha Centauri,0004.4,1.1,1.2,2
25,25,LHS 102BC,Phoenix,0h 4m 34.84s,−40° 44′ 5.8″,0.0,0.0,L5,0.0,0.0,2002.0,Alpha Centauri,0004.4,1.1,1.2,2
